片名,其他片名,上映年份,国家/地区,分类,标签,观看平台,我的评分,海报,豆瓣,归档日期,备注,归档年份
沙丘,Dune,2021,美国,电影,科幻,BiliBili,8.0,,https://movie.douban.com/subject/3001114/,2022/01/13 14:21,,2022
x特遣队:全员集结,The Suicide Squad,2021,美国,电影,"DC,Super Hero",资源,8.0,,https://movie.douban.com/subject/26741632/,2022/01/17 23:29,,2022
和平使者,Peacemaker,2022,美国,剧集,"DC,Super Hero",资源,8.0,,https://movie.douban.com/subject/35209701/,2022/01/20 19:28,,2022
绿色星球,The Green Planet,2022,美国,纪录片,植物,BiliBili,10,,https://movie.douban.com/subject/33387356/,2022/01/20 19:29,,2022
风味人间 第三季,Once Upon a Bite,2022,中国,纪录片,美食,腾讯视频,8.0,,https://movie.douban.com/subject/30156039/,2022/01/25 09:05,,2022
奇迹•笨小孩,Nice View,2022,中国,电影,剧情,院线,8.0,,https://movie.douban.com/subject/35312437/,2022/02/06 08:02,,2022
长津湖之水门桥,The Battle At Lake Changjin II,2022,中国,电影,战争,院线,7.0,,https://movie.douban.com/subject/35613853/,2022/02/06 08:02,,2022
僵尸校园,All of Us Are Dead,2022,韩国,剧集,惊悚,Netflix,7.0,,https://movie.douban.com/subject/35030325/,2022/02/06 08:03,,2022
侠探杰克,Jack Reacher,2022,美国,剧集,"犯罪,悬疑",资源,8.0,,https://movie.douban.com/subject/30378897/,2022/02/06 15:58,,2022
猎魔人 第一季,The Witcher Season 1,2019,美国,剧集,"魔幻,剧情",Netflix,8.0,,https://movie.douban.com/subject/26637615/,2022/02/10 07:43,,2022
猎魔人 第二季,The Witcher Season 2,2021,美国,剧集,"魔幻,剧情",Netflix,9.0,,https://movie.douban.com/subject/34888567/,2022/02/12 23:34,,2022
王牌特工:源起,The King's Man,2022,美国,电影,"剧情,动作,战争",资源,6.0,,https://movie.douban.com/subject/27038228/,2022/02/12 23:34,,2022
Tinder 诈骗王,The Tinder Swindler,2022,英国,纪录片,"犯罪,剧情",Netflix,8.0,,https://movie.douban.com/subject/35732660/,2022/02/15 19:31,,2022
尚气与十环传奇,Shang-Chi and the Legend of the Ten Rings,2021,美国,电影,"Super Hero,漫威",Disney+,7.0,,https://movie.douban.com/subject/30394797/,2022/02/16 22:30,,2022
青年维兰德 第二季,Young Wallander Season 2,2022,英国,剧集,"悬疑,犯罪,警匪",Netflix,7.0,,https://movie.douban.com/subject/35242155/,2022/02/19 07:50,,2022
鹰眼,Hawkeye,2021,美国,剧集,"Super Hero,漫威",Disney+,8.0,,https://movie.douban.com/subject/33406089/,2022/02/19 22:08,,2022
花束般的恋爱,花束みたいな恋をした,2022,日本,电影,"日本,爱情",院线,9.0,,https://movie.douban.com/subject/34874432/,2022/02/26 20:00,,2022
摩登情爱 第一季,Modern Love Season 1,2019,美国,剧集,"爱情,剧情",资源,9.0,,https://movie.douban.com/subject/30385409/,2022/02/27 20:33,,2022
少年法庭,소년 심판,2022,韩国,剧集,"犯罪,剧情",Netflix,9.0,,https://movie.douban.com/subject/35248792/,2022/03/08 21:00,,2022
绿皮书,Green Book,2018,美国,电影,剧情,BiliBili,9.0,,https://movie.douban.com/subject/27060077/,2022/03/08 23:36,,2022
亚当计划,The Adam Project,2022,美国,电影,科幻,Netflix,7.0,,https://movie.douban.com/subject/34970181/,2022/03/12 09:33,,2022
蜘蛛侠：英雄无归,Spider-Man: No Way Home,2021,美国,电影,"漫威,Super Hero",资源,7.0,,https://movie.douban.com/subject/26933210/,2022/03/13 17:46,,2022
阿甘正传,Forrest Gump,1994,美国,电影,剧情,BiliBili,10,,https://movie.douban.com/subject/1292720/,2022/03/18 23:53,,2022
神秘海域,Uncharted,2022,美国,电影,冒险,院线,7.0,,https://movie.douban.com/subject/3822687/,2022/03/19 23:10,,2022
新蝙蝠侠,The Batman,2022,美国,电影,"DC,Super Hero",院线,8.0,,https://movie.douban.com/subject/6424756/,2022/03/20 20:16,,2022
黑蟹行动,Black Crab,2022,瑞典,电影,战争,Netflix,6.0,,https://movie.douban.com/subject/35243106/,2022/03/21 08:37,,2022
寒栗,Kastanjemanden,2021,丹麦,剧集,"犯罪,悬疑",Netflix,8.0,,https://movie.douban.com/subject/34800967/,2022/03/22 21:23,,2022
月球陨落,Moonfall,2022,美国,电影,"科幻,灾难",院线,7.0,,https://movie.douban.com/subject/26825482/,2022/08/18 10:44,,2022
狙击手,Snipers,2022,中国,电影,战争,BiliBili,7.0,,https://movie.douban.com/subject/35215390/,2022/08/18 10:44,,2022
毒枭：墨西哥 第一季,Narcos: Mexico Season 1,2018,"墨西哥,美国",剧集,犯罪,Netflix,9.0,,https://movie.douban.com/subject/26869686/,2022/08/18 10:44,,2022
神奇动物：邓布利多之谜,Fantastic Beasts: The Secrets of Dumbledore,2022,美国,电影,魔幻,院线,7.0,,https://movie.douban.com/subject/26147418/,2022/08/18 10:44,,2022
喜鹊谋杀案,Magpie Murders,2022,英国,剧集,"悬疑,犯罪",资源,8.0,,https://movie.douban.com/subject/35154761/,2022/08/18 10:44,,2022
流人 第一季,Slow Horses Season 1,2022,美国,剧集,犯罪,资源,8.0,,https://movie.douban.com/subject/34890017/?dt_dapp=1,2022/08/18 10:44,,2022
猪猡之王,돼지의 왕,2022,韩国,剧集,犯罪,资源,9.0,,https://movie.douban.com/subject/35480594/,2022/08/18 10:44,,2022
月光骑士,Moon Knight,2022,美国,剧集,"Super Hero,漫威",资源,8.0,,https://movie.douban.com/subject/26358318/,2022/08/18 10:44,,2022
"奇异博士2
：疯狂多元宇宙",Doctor Strange in the Multiverse of Madness,2022,美国,电影,"Super Hero,漫威",资源,7.0,,https://movie.douban.com/subject/30304994/,2022/08/18 10:44,,2022
怪奇物语 第四季,Stranger Things Season 4,2022,美国,剧集,"魔幻,惊悚",Netflix,9.0,,https://movie.douban.com/subject/27194292/,2022/08/18 10:44,,2022
黑袍纠察队 第三季,The Boys Season 3,2022,美国,剧集,"Super Hero,DC",资源,9.0,,https://movie.douban.com/subject/35154050/,2022/08/18 10:44,,2022
铁血战士：猎物,Prey,2022,美国,电影,惊悚,资源,7.0,,https://movie.douban.com/subject/35262994/,2022/08/18 10:57,,2022
睡魔,The Sandman,2022,美国,剧集,魔幻,Netflix,8.0,,https://movie.douban.com/subject/25793471/,2022/08/15 09:18,,2022
日班猎人,Day Shift,2022,美国,电影,惊悚,Netflix,8.0,,https://movie.douban.com/subject/35229644/,2022/08/15 09:18,,2022
雪国列车 第一季,Snowpiercer Season 1,2020,美国,剧集,"灾难,剧情",Netflix,8.0,,https://movie.douban.com/subject/26919579/,2022/08/18 08:46,,2022
灰影人,The Gray Man,2022,美国,电影,"犯罪,剧情",Netflix,6.0,,https://movie.douban.com/subject/7051806/,2022/08/23 07:49,,2022
侏罗纪世界3,Jurassic World: Dominion,2022,美国,电影,剧情,BiliBili,6.0,,https://movie.douban.com/subject/26873582/,2022/08/23 07:49,,2022
龙之家族 第一季,,,,,,,,,,2022/09/05 16:42,,2022
壮志凌云：独行侠,Top Gun: Maverick,2022,美国,电影,"战争,剧情",资源,8.0,,https://movie.douban.com/subject/6893932/,2022/09/14 21:40,,2022
雷神4：爱与雷霆,Thor: Love and Thunder,2022,美国,电影,"Super Hero,漫威",资源,6.0,,https://movie.douban.com/subject/34477861/?tag=%E7%83%AD%E9%97%A8&from=gaia,2022/09/14 21:41,,2022
泰国洞穴救援事件簿,ถ้ำหลวง: ภารกิจแห่งความหวัง,2022,"泰国,美国",剧集,"剧情,灾难",Netflix,8.0,,https://movie.douban.com/subject/34909185/,2022/09/27 14:51,,2022
第一餐,,2022,中国,纪录片,美食,BiliBili,7.0,,https://movie.douban.com/subject/35290715/,2022/09/27 14:52,,2022
只身在荒岛60天,Naked and Marooned with Ed Stafford,2013,"美国,英国",纪录片,生存,BiliBili,8.0,,https://movie.douban.com/subject/28449854/,2022/10/16 11:39,,2022
单挑荒野 第一季,Marooned with Ed Stafford Season 1,2013,"美国,英国",纪录片,生存,BiliBili,9.0,,https://movie.douban.com/subject/26331092/,2022/10/16 11:41,,2022
绝命毒师 第一季,Breaking Bad Season 1,2008,美国,剧集,"犯罪,剧情",Netflix,9.0,,https://movie.douban.com/subject/2373195/,2022/10/16 11:42,,2022
最后的生还者1-老戴解说,The Last Of Us,2022,,,,BiliBili,9.0,,,2022/10/16 11:43,,2022
西线无战事,Im Westen nichts Neues,2022,"美国,英国,德国",电影,"战争,剧情",Netflix,8.0,,https://movie.douban.com/subject/3042261/,2022/11/06 20:09,,2022
福尔摩斯小姐：失踪的侯爵,Enola Holmes,2020,"美国,英国",电影,"悬疑,剧情",Netflix,6.0,,https://movie.douban.com/subject/27662541/,2022/11/06 20:09,,2022
福尔摩斯小姐：伦敦厄运,Enola Holmes 2,2022,"美国,英国",电影,"悬疑,剧情",Netflix,6.0,,https://movie.douban.com/subject/35461749/,2022/11/07 19:33,,2022
以复仇为名,Il mio nome è vendetta,2022,意大利,电影,"犯罪,剧情",Netflix,6.0,,https://movie.douban.com/subject/35594766/,2022/12/16 16:49,,2022
大侦探福尔摩斯,Sherlock Holmes,2009,"美国,德国",电影,"悬疑,剧情",Netflix,8.0,,https://movie.douban.com/subject/2998270/,2022/12/16 16:49,,2022
大侦探福尔摩斯2,Sherlock Holmes: A Game of Shadows,2011,美国,电影,"悬疑,剧情",Netflix,8.0,,https://movie.douban.com/subject/4051753/,2022/12/16 16:49,,2022
小黄人大眼萌：神偷奶爸前传,Minions: The Rise of Gru,2022,美国,电影,剧情,BiliBili,7.0,,https://movie.douban.com/subject/26642033/,2022/12/16 16:50,,2022
利刃出鞘,Knives Out,2019,美国,电影,"悬疑,剧情,犯罪",Netflix,8.0,,https://movie.douban.com/subject/30318116/,2022/12/16 16:51,,2022
流人 第二季,Slow Horses Season 2,2022,英国,剧集,"悬疑,犯罪",资源,9.0,,https://movie.douban.com/subject/35356697/,2022/12/16 16:59,,2022
解放黑奴,Emancipation,2022,美国,电影,"剧情,历史",资源,7.0,,https://movie.douban.com/subject/35099708/,2022/12/16 17:01,,2022
黑亚当,Black Adam,2022,美国,电影,"DC,Super Hero",资源,6.0,,https://movie.douban.com/subject/26959697/,2022/12/16 20:29,,2022
万里归途,,2022,中国,电影,战争,腾讯视频,7.0,,https://movie.douban.com/subject/26654184/,2022/12/17 11:00,,2022
暗夜博士：莫比亚斯,Morbius,2022,美国,电影,"漫威,Super Hero",资源,6.0,,https://movie.douban.com/subject/27199850/,2022/12/17 11:00,,2022
华尔街之狼,The Wolf of Wall Street,2013,美国,电影,"传记,剧情",资源,8.0,,https://movie.douban.com/subject/2997076/,2022/12/18 12:22,,2022
风味人间 第四季,,2022,中国,纪录片,美食,腾讯视频,9.0,,https://movie.douban.com/subject/35686327/,2023/01/06 16:25,,2023
利刃出鞘2,Glass Onion: A Knives Out Mystery,2022,美国,电影,"悬疑,剧情,犯罪",Netflix,7.0,,https://movie.douban.com/subject/34939037/,2023/01/06 16:25,,2023
海蒂和爷爷,Heidi,2015,"德国,瑞士",电影,剧情,BiliBili,8.0,,https://movie.douban.com/subject/25958717/,2023/01/08 20:50,,2023
子弹列车,Bullet Train,2022,美国,电影,"剧情,犯罪",Netflix,7.0,,https://movie.douban.com/subject/35118954/,2023/01/08 21:10,,2023
守望者,Watchmen,2009,美国,电影,"DC,Super Hero",BiliBili,9.0,,https://movie.douban.com/subject/1972698/,2023/01/09 19:35,,2023
黑豹2,Black Panther: Wakanda Forever,2022,美国,电影,"漫威,Super Hero",资源,6.0,,https://movie.douban.com/subject/30167997/,2023/01/10 22:38,,2023
我是谁：没有绝对安全的系统,Who Am I - Kein System ist sicher,2014,德国,电影,犯罪,BiliBili,8.0,,https://movie.douban.com/subject/25932086/,2023/01/13 22:37,,2023
阿凡达：水之道,Avatar: The Way of Water,2022,美国,电影,"剧情,科幻",院线,8.0,,https://movie.douban.com/subject/4811774/,2023/01/15 16:53,,2023
狂飙,,2023,中国,剧集,犯罪,爱奇艺,8.0,,https://movie.douban.com/subject/35465232/,2023/01/28 13:58,,2023
爱乐之城,La La Land,2016,美国,电影,"爱情,歌舞",BiliBili,9.0,,https://movie.douban.com/subject/25934014/,2023/02/05 21:25,在脑海中已经和你过完了一生,2023
地球脉动 第二季,Planet Earth Season 2,2016,英国,纪录片,自然,BiliBili,9.0,,https://movie.douban.com/subject/26733371/,2023/02/05 21:27,,2023
